628	2	
8.0000000000000004441e-01	8.8817841970012525083e-18	0.0000000000000000000e+00	
7.9999497895919524648e-01	-4.8653686972155437215e-07	0.0000000000000000000e+00	
7.9997991596283490878e-01	-1.9461114542096424884e-06	0.0000000000000000000e+00	
7.9995481138907864604e-01	-4.3786156857095187697e-06	0.0000000000000000000e+00	
7.9991966586818208373e-01	-7.7838694727683227633e-06	0.0000000000000000000e+00	
7.9987448028248053777e-01	-1.2161620732800137797e-05	0.0000000000000000000e+00	
7.9981925576636747621e-01	-1.7511545437129959776e-05	0.0000000000000000000e+00	
7.9975399370626554241e-01	-2.3833247669324817607e-05	0.0000000000000000000e+00	
7.9967869574059202709e-01	-3.1126259696088174386e-05	0.0000000000000000000e+00	
7.9959336375971779010e-01	-3.9390042051343778461e-05	0.0000000000000000000e+00	
7.9949799990591952081e-01	-4.8623983632745111747e-05	0.0000000000000000000e+00	
7.9939260657332644744e-01	-5.8827401811396558100e-05	0.0000000000000000000e+00	
7.9927718640785971882e-01	-6.9999542553826889723e-05	0.0000000000000000000e+00	
7.9915174230716568005e-01	-8.2139580557152313558e-05	0.0000000000000000000e+00	
7.9901627742054459613e-01	-9.5246619396447396969e-05	0.0000000000000000000e+00	
7.9887079514886982778e-01	-1.0931969168491927590e-04	0.0000000000000000000e+00	
7.9871529914450334342e-01	-1.2435775924657388458e-04	0.0000000000000000000e+00	
7.9854979331120434782e-01	-1.4035971330118355671e-04	0.0000000000000000000e+00	
7.9837428180403058331e-01	-1.5732437466180028223e-04	0.0000000000000000000e+00	
7.9818876902923385774e-01	-1.7525049394455206680e-04	0.0000000000000000000e+00	
7.9799325964415057655e-01	-1.9413675179032362423e-04	0.0000000000000000000e+00	
7.9778775855708361497e-01	-2.1398175909900004482e-04	0.0000000000000000000e+00	
7.9757227092717986050e-01	-2.3478405727538119527e-04	0.0000000000000000000e+00	
7.9734680216429998367e-01	-2.5654211848733063546e-04	0.0000000000000000000e+00	
7.9711135792888332396e-01	-2.7925434593540466406e-04	0.0000000000000000000e+00	
7.9686594413180555918e-01	-3.0291907413442675139e-04	0.0000000000000000000e+00	
7.9661056693423004660e-01	-3.2753456920662669602e-04	0.0000000000000000000e+00	
7.9634523274745350196e-01	-3.5309902918602810787e-04	0.0000000000000000000e+00	
7.9606994823274479511e-01	-3.7961058433484402667e-04	0.0000000000000000000e+00	
7.9578472030117775038e-01	-4.0706729747008279759e-04	0.0000000000000000000e+00	
7.9548955611345784078e-01	-4.3546716430230335369e-04	0.0000000000000000000e+00	
7.9518446307974233189e-01	-4.6480811378460715590e-04	0.0000000000000000000e+00	
7.9486944885945387540e-01	-4.9508800847290139035e-04	0.0000000000000000000e+00	
7.9454452136108899563e-01	-5.2630464489650469542e-04	0.0000000000000000000e+00	
7.9420968874201847143e-01	-5.5845575393951294493e-04	0.0000000000000000000e+00	
7.9386495940828405438e-01	-5.9153900123264601361e-04	0.0000000000000000000e+00	
7.9351034201438541693e-01	-6.2555198755494863944e-04	0.0000000000000000000e+00	
7.9314584546306488022e-01	-6.6049224924597188871e-04	0.0000000000000000000e+00	
7.9277147890508270489e-01	-6.9635725862763123411e-04	0.0000000000000000000e+00	
7.9238725173898771903e-01	-7.3314442443585649614e-04	0.0000000000000000000e+00	
7.9199317361088139577e-01	-7.7085109226182168662e-04	0.0000000000000000000e+00	
7.9158925441417515856e-01	-8.0947454500259309954e-04	0.0000000000000000000e+00	
7.9117550428934346751e-01	-8.4901200332093479037e-04	0.0000000000000000000e+00	
7.9075193362366702488e-01	-8.8946062611424889233e-04	0.0000000000000000000e+00	
7.9031855305097431508e-01	-9.3081751099223443598e-04	0.0000000000000000000e+00	
7.8987537345137259770e-01	-9.7307969476333677165e-04	0.0000000000000000000e+00	
7.8942240595097645794e-01	-1.0162441539295576001e-03	0.0000000000000000000e+00	
7.8895966192162725328e-01	-1.0603078051895974219e-03	0.0000000000000000000e+00	
7.8848715298060834122e-01	-1.1052675059500937250e-03	0.0000000000000000000e+00	
7.8800489099035297968e-01	-1.1511200548447186615e-03	0.0000000000000000000e+00	
7.8751288805814700922e-01	-1.1978621922608034735e-03	0.0000000000000000000e+00	
7.8701115653582420784e-01	-1.2454906008737820760e-03	0.0000000000000000000e+00	
7.8649970901945687185e-01	-1.2940019061884067836e-03	0.0000000000000000000e+00	
7.8597855834903929129e-01	-1.3433926770874647649e-03	0.0000000000000000000e+00	
7.8544771760816534112e-01	-1.3936594263869615459e-03	0.0000000000000000000e+00	
7.8490720012370018832e-01	-1.4447986113981813906e-03	0.0000000000000000000e+00	
7.8435701946544544860e-01	-1.4968066344958951084e-03	0.0000000000000000000e+00	
7.8379718944579901407e-01	-1.5496798436929280079e-03	0.0000000000000000000e+00	
7.8322772411940744242e-01	-1.6034145332207039737e-03	0.0000000000000000000e+00	
7.8264863778281412721e-01	-1.6580069441150956273e-03	0.0000000000000000000e+00	
7.8205994497409969668e-01	-1.7134532648083401676e-03	0.0000000000000000000e+00	
7.8146166047251730546e-01	-1.7697496317258432259e-03	0.0000000000000000000e+00	
7.8085379929812115396e-01	-1.8268921298879980258e-03	0.0000000000000000000e+00	
7.8023637671139012273e-01	-1.8848767935170673317e-03	0.0000000000000000000e+00	
7.7960940821284452351e-01	-1.9436996066482725362e-03	0.0000000000000000000e+00	
7.7897290954265607787e-01	-2.0033565037454971122e-03	0.0000000000000000000e+00	
7.7832689668025389906e-01	-2.0638433703207949635e-03	0.0000000000000000000e+00	
7.7767138584392270229e-01	-2.1251560435580517036e-03	0.0000000000000000000e+00	
7.7700639349039579695e-01	-2.1872903129400221404e-03	0.0000000000000000000e+00	
7.7633193631444175065e-01	-2.2502419208787127411e-03	0.0000000000000000000e+00	
7.7564803124844583504e-01	-2.3140065633490271117e-03	0.0000000000000000000e+00	
7.7495469546198392230e-01	-2.3785798905252299694e-03	0.0000000000000000000e+00	
7.7425194636139271775e-01	-2.4439575074199069472e-03	0.0000000000000000000e+00	
7.7353980158933155487e-01	-2.5101349745255551078e-03	0.0000000000000000000e+00	
7.7281827902434030442e-01	-2.5771078084580434885e-03	0.0000000000000000000e+00	
7.7208739678039028931e-01	-2.6448714826022398823e-03	0.0000000000000000000e+00	
7.7134717320642909311e-01	-2.7134214277590731033e-03	0.0000000000000000000e+00	
7.7059762688592070567e-01	-2.7827530327939873668e-03	0.0000000000000000000e+00	
7.6983877663637845234e-01	-2.8528616452868772561e-03	0.0000000000000000000e+00	
7.6907064150889281606e-01	-2.9237425721824281816e-03	0.0000000000000000000e+00	
7.6829324078765248718e-01	-2.9953910804416316802e-03	0.0000000000000000000e+00	
7.6750659398946163847e-01	-3.0678023976931931630e-03	0.0000000000000000000e+00	
7.6671072086324820738e-01	-3.1409717128858005188e-03	0.0000000000000000000e+00	
7.6590564138956984674e-01	-3.2148941769394091296e-03	0.0000000000000000000e+00	
7.6509137578011054970e-01	-3.2895649033972463628e-03	0.0000000000000000000e+00	
7.6426794447717483205e-01	-3.3649789690763931560e-03	0.0000000000000000000e+00	
7.6343536815317358801e-01	-3.4411314147180464135e-03	0.0000000000000000000e+00	
7.6259366771010528296e-01	-3.5180172456366291117e-03	0.0000000000000000000e+00	
7.6174286427903104002e-01	-3.5956314323675937251e-03	0.0000000000000000000e+00	
