628	2	
1.000000e+00	1.110223e-17	0.000000e+00	
9.999937e-01	-6.081711e-07	0.000000e+00	
9.999749e-01	-2.432639e-06	0.000000e+00	
9.999435e-01	-5.473270e-06	0.000000e+00	
9.998996e-01	-9.729837e-06	0.000000e+00	
9.998431e-01	-1.520203e-05	0.000000e+00	
9.997741e-01	-2.188943e-05	0.000000e+00	
9.996925e-01	-2.979156e-05	0.000000e+00	
9.995984e-01	-3.890782e-05	0.000000e+00	
9.994917e-01	-4.923755e-05	0.000000e+00	
9.993725e-01	-6.077998e-05	0.000000e+00	
9.992408e-01	-7.353425e-05	0.000000e+00	
9.990965e-01	-8.749943e-05	0.000000e+00	
9.989397e-01	-1.026745e-04	0.000000e+00	
9.987703e-01	-1.190583e-04	0.000000e+00	
9.985885e-01	-1.366496e-04	0.000000e+00	
9.983941e-01	-1.554472e-04	0.000000e+00	
9.981872e-01	-1.754496e-04	0.000000e+00	
9.979679e-01	-1.966555e-04	0.000000e+00	
9.977360e-01	-2.190631e-04	0.000000e+00	
9.974916e-01	-2.426709e-04	0.000000e+00	
9.972347e-01	-2.674772e-04	0.000000e+00	
9.969653e-01	-2.934801e-04	0.000000e+00	
9.966835e-01	-3.206776e-04	0.000000e+00	
9.963892e-01	-3.490679e-04	0.000000e+00	
9.960824e-01	-3.786488e-04	0.000000e+00	
9.957632e-01	-4.094182e-04	0.000000e+00	
9.954315e-01	-4.413738e-04	0.000000e+00	
9.950874e-01	-4.745132e-04	0.000000e+00	
9.947309e-01	-5.088341e-04	0.000000e+00	
9.943619e-01	-5.443340e-04	0.000000e+00	
9.939806e-01	-5.810101e-04	0.000000e+00	
9.935868e-01	-6.188600e-04	0.000000e+00	
9.931807e-01	-6.578808e-04	0.000000e+00	
9.927621e-01	-6.980697e-04	0.000000e+00	
9.923312e-01	-7.394238e-04	0.000000e+00	
9.918879e-01	-7.819400e-04	0.000000e+00	
9.914323e-01	-8.256153e-04	0.000000e+00	
9.909643e-01	-8.704466e-04	0.000000e+00	
9.904841e-01	-9.164305e-04	0.000000e+00	
9.899915e-01	-9.635639e-04	0.000000e+00	
9.894866e-01	-1.011843e-03	0.000000e+00	
9.889694e-01	-1.061265e-03	0.000000e+00	
9.884399e-01	-1.111826e-03	0.000000e+00	
9.878982e-01	-1.163522e-03	0.000000e+00	
9.873442e-01	-1.216350e-03	0.000000e+00	
9.867780e-01	-1.270305e-03	0.000000e+00	
9.861996e-01	-1.325385e-03	0.000000e+00	
9.856089e-01	-1.381584e-03	0.000000e+00	
9.850061e-01	-1.438900e-03	0.000000e+00	
9.843911e-01	-1.497328e-03	0.000000e+00	
9.837639e-01	-1.556863e-03	0.000000e+00	
9.831246e-01	-1.617502e-03	0.000000e+00	
9.824732e-01	-1.679241e-03	0.000000e+00	
9.818096e-01	-1.742074e-03	0.000000e+00	
9.811340e-01	-1.805998e-03	0.000000e+00	
9.804463e-01	-1.871008e-03	0.000000e+00	
9.797465e-01	-1.937100e-03	0.000000e+00	
9.790347e-01	-2.004268e-03	0.000000e+00	
9.783108e-01	-2.072509e-03	0.000000e+00	
9.775749e-01	-2.141817e-03	0.000000e+00	
9.768271e-01	-2.212187e-03	0.000000e+00	
9.760672e-01	-2.283615e-03	0.000000e+00	
9.752955e-01	-2.356096e-03	0.000000e+00	
9.745118e-01	-2.429625e-03	0.000000e+00	
9.737161e-01	-2.504196e-03	0.000000e+00	
9.729086e-01	-2.579804e-03	0.000000e+00	
9.720892e-01	-2.656445e-03	0.000000e+00	
9.712580e-01	-2.734113e-03	0.000000e+00	
9.704149e-01	-2.812802e-03	0.000000e+00	
9.695600e-01	-2.892508e-03	0.000000e+00	
9.686934e-01	-2.973225e-03	0.000000e+00	
9.678149e-01	-3.054947e-03	0.000000e+00	
9.669248e-01	-3.137669e-03	0.000000e+00	
9.660228e-01	-3.221385e-03	0.000000e+00	
9.651092e-01	-3.306089e-03	0.000000e+00	
9.641840e-01	-3.391777e-03	0.000000e+00	
9.632470e-01	-3.478441e-03	0.000000e+00	
9.622985e-01	-3.566077e-03	0.000000e+00	
9.613383e-01	-3.654678e-03	0.000000e+00	
9.603666e-01	-3.744239e-03	0.000000e+00	
9.593832e-01	-3.834753e-03	0.000000e+00	
9.583884e-01	-3.926215e-03	0.000000e+00	
9.573821e-01	-4.018618e-03	0.000000e+00	
9.563642e-01	-4.111956e-03	0.000000e+00	
9.553349e-01	-4.206224e-03	0.000000e+00	
9.542942e-01	-4.301414e-03	0.000000e+00	
